plot_variableID,templateID,variableID,selected_axis,limit_type,ymin,ymax,decimalID,colorID,linestyleID
262,2,35,0,1,0.0,10.0,1,1,1
263,2,36,0,1,0.0,10.0,1,1,1
264,2,37,0,1,0.0,10.0,1,1,1
265,2,38,0,1,0.0,10.0,1,1,1
266,2,39,0,1,0.0,10.0,1,1,1
267,2,40,0,1,0.0,10.0,1,1,1
268,2,41,0,1,0.0,10.0,1,1,1
269,2,42,0,1,0.0,10.0,1,1,1
270,2,43,0,1,3.0,8.0,1,1,1
271,2,44,0,1,30.0,40.0,1,1,1
272,2,55,0,1,0.0,1.0,4,3,1
273,2,62,0,1,0.0,1.0,4,3,1
274,2,77,0,1,0.0,10.0,3,6,1
275,2,78,0,1,0.0,10.0,3,6,1
