time in h,cXL in g/l,cS1L in g/l,cS2L in g/l,cS3L in g/l,NSt in rpm,FnG in l/min,FnO2 in l/min,FnN2 in l/min,FnCO2 in l/min,pHL in -,thetaL in °C
0.877222222222196,3.97551292094912,8.37360038383992,2.2783088254955e-17,0.13213792176608,910.748287474811,7.5,0,0,0,6.59856434628271,31.8829956122427
0.877777777777751,3.97616440538011,8.37252664864548,2.27827239653455e-17,0.132244107468874,948.43054679676,7.5,0,0,0,6.60018638525968,31.8887782683279
0.878333333333307,3.97679980424597,8.37140741638093,2.27823596844968e-17,0.132356838257078,925.942170830979,7.5,0,0,0,6.60176747288716,31.8952667669051
0.878888888888863,3.9775148858335,8.37032211397113,2.27823076853844e-17,0.132459688189099,811.96581024502,7.5,0,0,0,6.60351064382091,31.9009652170854
0.879444444444418,3.97827467986054,8.36916344107204,2.27822556836205e-17,0.132546414389235,609.931878328034,7.5,0,0,0,6.60230560170047,31.9039900633252
0.879999999999974,3.97907506237109,8.36795147599094,2.27822036792049e-17,0.132616556012684,450,7.5,0,0,0,6.60130362794524,31.9039723927282
0.880555555555529,3.97990492621804,8.36670324677754,2.27821516721375e-17,0.132674408013479,450,7.5,0,0,0,6.6004405082439,31.9027362211461
0.881111111111085,3.98075485053398,8.36543306142573,2.27820996624183e-17,0.132723805597449,450,7.5,0,0,0,6.59964989590755,31.9016566934013
0.88166666666664,3.98161691917546,8.36415410913724,2.2782047650047e-17,0.132768063675489,450,7.5,0,0,0,6.59885475436354,31.9007083512182
0.882222222222196,3.98242924833221,8.36276530531926,2.27816833706017e-17,0.132810298815719,450,7.5,0,0,0,6.59800366117313,31.899868388652
0.882777777777751,3.9832389124538,8.36139206649859,2.27813190999159e-17,0.132851907119995,450,7.5,0,0,0,6.6003408221674,31.8991149658904
0.883333333333307,3.98403996159117,8.36003755489047,2.27807501281808e-17,0.132897252671225,450,7.5,0,0,0,6.60262098444545,31.8984303433514
0.883888888888862,3.98488526300539,8.35881964580802,2.30878958610153e-17,0.132947149340698,450,7.5,0,0,0,6.60483468419168,31.8978058717086
0.884444444444418,3.98571838811368,8.35762686689162,2.30878431386261e-17,0.133004170472167,450,7.5,0,0,0,6.60379736754883,31.8972332293643
0.884999999999973,3.98653760713803,8.35646289380526,2.30877904135486e-17,0.133067188095861,450,7.5,0,0,0,6.60268378421098,31.8967048654582
0.885555555555529,3.98734088697308,8.35533130965159,2.30877376857827e-17,0.133136927776005,554.475746178932,7.5,0,0,0,6.60148700525022,31.8962130751753
0.886111111111084,3.98812624893426,8.35423576264358,2.30876849553307e-17,0.133214156974905,693.867876505222,7.5,0,0,0,6.60019730434384,31.8965327448642
0.88666666666664,3.98889166852776,8.35317968506819,2.308763222219e-17,0.133299639619269,803.619073833755,7.5,0,0,0,6.59880484384608,31.8984479055604
0.887222222222195,3.98963524822805,8.35216583255692,2.3087579486358e-17,0.133394072965977,885.130624018953,7.5,0,0,0,6.59730059812785,31.9020914803444
0.887777777777751,3.99030077919219,8.35108123135434,2.30872103158509e-17,0.133497989318102,941.268778145688,7.5,0,0,0,6.595731370062,31.9072758088107
0.888333333333307,3.99094211262424,8.34998892125789,2.30868411542198e-17,0.133609795914328,953.548998534226,7.5,0,0,0,6.59730830870667,31.9135941552338
0.888888888888862,3.99158770644088,8.34882640848465,2.30864720014642e-17,0.133719976053623,886.460235077145,7.5,0,0,0,6.59895064582019,31.9199932998326
0.889444444444418,3.99227213127071,8.34758245776303,2.30861028575838e-17,0.133814731572419,725.407262450296,7.5,0,0,0,6.60081434754778,31.9245361354706
0.889999999999973,3.9930016052957,8.34627413622325,2.30857337225781e-17,0.133891231479842,486.999906033059,7.5,0,0,0,6.60290945856691,31.925904158799
0.890555555555529,3.99382142263694,8.34503494969296,2.30856809778401e-17,0.13395306267523,450,7.5,0,0,0,6.60517244900196,31.9247111646031
0.891111111111084,3.99466627984207,8.34376630651212,2.30856282304127e-17,0.134006307762121,450,7.5,0,0,0,6.6043588018237,31.9234396378405
0.89166666666664,3.99552743111455,8.34248226440761,2.3085575480296e-17,0.134052741847564,450,7.5,0,0,0,6.60357882791343,31.9223138677869
0.892222222222195,3.99639709880154,8.34119599795606,2.30855227274896e-17,0.134095580755764,450,7.5,0,0,0,6.60274295151942,31.9213093064875
0.892777777777751,3.99726799392769,8.33992211321755,2.30854699719936e-17,0.134137950974892,450,7.5,0,0,0,6.60188764566868,31.9204037443791
0.893333333333306,3.99813203580733,8.33866580125102,2.30854172138078e-17,0.134183319598268,450,7.5,0,0,0,6.60099115043879,31.9195746953538
0.893888888888862,3.9989863520594,8.33743060069487,2.33936490401159e-17,0.134232902135132,450,7.5,0,0,0,6.60004140175906,31.9188109193708
0.894444444444417,3.99982898508499,8.33621969986075,2.33935955719394e-17,0.13428750851219,450,7.5,0,0,0,6.59902903561082,31.9181035987397
0.894999999999973,4.00065817125258,8.3350364570982,2.33935421010368e-17,0.134347852926532,450,7.5,0,0,0,6.59794551010304,31.9174448221899
0.895555555555528,4.00141721502027,8.33377027390354,2.37016414655464e-17,0.13441467479005,480.175491229034,7.5,0,0,0,6.59678145388838,31.9168269753793
0.896111111111084,4.00215893826552,8.33253918872986,2.37012624752063e-17,0.134486911353968,635.313308908808,7.5,0,0,0,6.59873271881928,31.9164356270363
0.89666666666664,4.00288124431464,8.33134665916895,2.37008834941003e-17,0.134567207128114,760.034370941275,7.5,0,0,0,6.60057956598283,31.9174965130188
0.897222222222195,4.00358221520752,8.33019600048194,2.37005045221038e-17,0.134656353015058,855.424859872338,7.5,0,0,0,6.60231120663891,31.920298085129
0.897777777777751,4.004314891596,8.32920369461072,2.37004503382369e-17,0.134755010106227,923.596217036387,7.5,0,0,0,6.6039377056332,31.9248009120738
0.898333333333306,4.00502312555613,8.32824159794003,2.37003961516075e-17,0.134865454389363,961.697821507074,7.5,0,0,0,6.60233289902247,31.9306752448975
0.898888888888862,4.00571464599753,8.32723038419654,2.37003419622154e-17,0.134982689522824,937.470422943319,7.5,0,0,0,6.60068435615639,31.9372803214548
0.899444444444417,4.00643333310303,8.32613399352774,2.37002877700605e-17,0.135089192169328,818.860397874139,7.5,0,0,0,6.59921182443431,31.9430242073833
0.899999999999973,4.00719913760172,8.32496188804306,2.37002335751427e-17,0.135176714369251,609.750205695709,7.5,0,0,0,6.59799464601369,31.9459293967605
0.900555555555528,4.00795190420136,8.32362131248244,2.36998546057432e-17,0.135247032814449,450,7.5,0,0,0,6.59699165575384,31.9456556038426
0.901111111111084,4.00873474967716,8.32224412995255,2.36994756454522e-17,0.135302940158891,450,7.5,0,0,0,6.59933642043312,31.9441716509628
0.901666666666639,4.00953784436763,8.32084467958819,2.36990966942691e-17,0.135350294914555,450,7.5,0,0,0,6.60174790747192,31.9428494901356
0.902222222222195,4.0103532549564,8.31943635234522,2.36987177521935e-17,0.135392507544517,450,7.5,0,0,0,6.60414205279816,31.9416633394237
0.90277777777775,4.01122853683398,8.31814686090392,2.36984478156072e-17,0.135432743737458,450,7.5,0,0,0,6.60646828805418,31.9405899100324
0.903333333333306,4.01210114815804,8.31687287586855,2.36983936105452e-17,0.135476124818069,450,7.5,0,0,0,6.60560049039703,31.939606818033
0.903888888888861,4.01296517724215,8.31561831160475,2.36983394027197e-17,0.135523323151447,450,7.5,0,0,0,6.60468064074799,31.9386962448051
0.904444444444417,4.01381845824954,8.3143866230173,2.36982851921306e-17,0.135575162344697,450,7.5,0,0,0,6.60370323821973,31.9378485451709
0.904999999999972,4.01465908001635,8.31318111619382,2.36982309787778e-17,0.135632426069666,450,7.5,0,0,0,6.60265883623218,31.9370551452863
0.905555555555528,4.01548521380039,8.31200539725664,2.3698176762661e-17,0.135695848980311,450,7.5,0,0,0,6.60153878043969,31.9363081476393
0.906111111111084,4.01629486497112,8.31086333414158,2.36981225437803e-17,0.135766219384915,560.708808107503,7.5,0,0,0,6.60033276529473,31.935599809055
0.906666666666639,4.01708589732835,8.3097589257955,2.3698068322138e-17,0.135844366648054,703.347253428667,7.5,0,0,0,6.59903026930259,31.9357619313863
0.907222222222195,4.01785609232213,8.30869598823428,2.36980140977314e-17,0.135931129236333,815.488718912782,7.5,0,0,0,6.59762051108871,31.9375975436947
0.90777777777775,4.01854827631352,8.30756381259033,2.36974188533736e-17,0.136027283899705,898.582954570827,7.5,0,0,0,6.59609346368873,31.9412494119401
0.908333333333306,4.0192157753369,8.30647799737369,2.3697039924916e-17,0.136131569888139,955.557183492755,7.5,0,0,0,6.5977027289545,31.9465186109988
0.908888888888861,4.01985762619855,8.30538142059607,2.3696661005564e-17,0.136246133627085,966.611816390002,7.5,0,0,0,6.59923809022219,31.9529719093564
0.909444444444417,4.02050542587052,8.30420907282157,2.36962820953171e-17,0.136358485682641,894.918913031829,7.5,0,0,0,6.60084481376159,31.9594724049234
0.909999999999972,4.02119513674434,8.30295164491102,2.36959031941748e-17,0.136454191482091,726.313253531494,7.5,0,0,0,6.60268760371169,31.9639538881281
0.910555555555528,4.02198701759879,8.30174213295695,2.36958489611038e-17,0.136530815580164,478.832825875979,7.5,0,0,0,6.60477012565341,31.965076958305
0.911111111111083,4.02281533213627,8.30048693776418,2.36957947252681e-17,0.136594297926438,450,7.5,0,0,0,6.60385465017426,31.9635756117775
0.911666666666639,4.02366891827861,8.29920264261319,2.36957404866675e-17,0.136647251579583,450,7.5,0,0,0,6.60304257292054,31.9620610476969
0.912222222222194,4.024538601082,8.29790323092245,2.36956862453019e-17,0.13669338866027,450,7.5,0,0,0,6.60226549475093,31.960697213883
0.91277777777775,4.02541664394148,8.29660205147436,2.36956320011712e-17,0.136735993635779,450,7.5,0,0,0,6.6014265812595,31.9594593439125
0.913333333333305,4.02629566151265,8.29531396568802,2.36955777542751e-17,0.136778236677541,450,7.5,0,0,0,6.60057123067822,31.958324762493
0.913888888888861,4.02716743183614,8.29404386680693,2.36955235046137e-17,0.13682364661011,450,7.5,0,0,0,6.59967244422622,31.9572704595392
0.914444444444417,4.02802924726684,8.29279541858167,2.36954692521867e-17,0.13687336793075,450,7.5,0,0,0,6.59871939881639,31.9562852905362
0.914999999999972,4.02882388172754,8.29145835668081,2.36950903499179e-17,0.136928239255497,450,7.5,0,0,0,6.59770217732303,31.955360083475
0.915555555555528,4.02960466938184,8.29014989788238,2.36947114567525e-17,0.136987130609102,450,7.5,0,0,0,6.59980621935191,31.9544866188226
0.916111111111083,4.03036962928734,8.28887362416136,2.369433257269e-17,0.137052706524948,487.765051699608,7.5,0,0,0,6.60182197069665,31.9536568367107
0.916666666666639,4.03111678023451,8.28763368126553,2.369395369773e-17,0.137125822552177,645.942529761212,7.5,0,0,0,6.60373751311318,31.9531086851129
0.917222222222194,4.03189906947112,8.28654776088959,2.36938994374234e-17,0.137207356653162,772.862225040141,7.5,0,0,0,6.60554300241861,31.9540888086265
0.91777777777775,4.03265896609488,8.28550604768868,2.36938451743508e-17,0.137300051916329,869.703474098781,7.5,0,0,0,6.60406922013152,31.9568986970742
0.918333333333305,4.03339440224282,8.28451148098123,2.36937909085096e-17,0.13740277684474,938.632100294687,7.5,0,0,0,6.6024903185608,31.9614920858424
0.918888888888861,4.03410375845077,8.28354567279825,2.36937366399021e-17,0.137516001102004,975.296173061504,7.5,0,0,0,6.60085102020923,31.967514830668
0.919444444444416,4.03479720345405,8.28252459384336,2.36934643877811e-17,0.137635606977057,945.99841873507,7.5,0,0,0,6.59917693449442,31.9742487514153
0.919999999999972,4.03552121906467,8.28141368873461,2.369341011414e-17,0.137743136441505,819.150143394025,7.5,0,0,0,6.59769625757289,31.9799629018383
0.920555555555527,4.0362396275035,8.28011194447976,2.36930312440912e-17,0.137830639365912,600.124324414551,7.5,0,0,0,6.5964830455169,31.9826214672534
0.921111111111083,4.03700083619654,8.27875554637506,2.40038691657018e-17,0.137898646824843,450,7.5,0,0,0,6.59868723122866,31.9819992997398
0.921666666666638,4.03779227852098,8.27736249762186,2.40034853374153e-17,0.137954015774188,450,7.5,0,0,0,6.60102806821781,31.9802823897423
0.922222222222194,4.03860399413184,8.27594771376575,2.40031015183486e-17,0.138000897998962,450,7.5,0,0,0,6.60342925727608,31.9787327905679
0.922777777777749,4.03948306757511,8.27463809416163,2.40030465238029e-17,0.138042758845996,450,7.5,0,0,0,6.60580706829344,31.977323777356
0.923333333333305,4.04036668816269,8.2733342107712,2.4002991526454e-17,0.138084696475097,450,7.5,0,0,0,6.60495964766229,31.9760315635985
0.923888888888861,4.04124713185438,8.2720465584093,2.40029365263016e-17,0.138128140155659,450,7.5,0,0,0,6.6040868682912,31.9748333552493
0.924444444444416,4.04211859226936,8.27077884378429,2.40028815233456e-17,0.138175489705607,450,7.5,0,0,0,6.60316343496273,31.9737112877637
0.924999999999972,4.04297901846374,8.26953463565329,2.40026048490769e-17,0.138227601164824,450,7.5,0,0,0,6.60218105758201,31.9726557213579
0.925555555555527,4.04382643631359,8.26831743883104,2.40025498410214e-17,0.138285283842983,450,7.5,0,0,0,6.60112998211414,31.9716577497185
0.926111111111083,4.04465890714872,8.26713111368507,2.40024948301619e-17,0.138349316953513,450,7.5,0,0,0,6.60000067005096,31.9707090726871
0.926666666666638,4.04547429569957,8.26597984611833,2.40024398164984e-17,0.138420544844944,572.342314996018,7.5,0,0,0,6.59878238238326,31.9698015083101
0.927222222222194,4.04627028989893,8.26486800852563,2.40023848000332e-17,0.138499865571382,717.018910554593,7.5,0,0,0,6.59746363041146,31.9698767459255
0.927777777777749,4.04698902501866,8.26368661650829,2.40020009821851e-17,0.138588196233325,830.4331299156,7.5,0,0,0,6.59603263133179,31.9717151927964
