time in h,cXL in g/l,cS1L in g/l,cS2L in g/l,cS3L in g/l,qXpX in 1/h,pO2 in %,NSt in rpm,FnG in l/min,FnAIR in l/min,FnO2 in l/min,FnN2 in l/min,FnCO2 in l/min,pHL in -,thetaL in °C,pG in pa,xOGin in -,xOG in -,xCG in -,xOL in -,cOL in g/l,RQ in mol/mol,QO2max in g/(lh),QCO2max in g/(lh),OTR in g/(lh),CTR in g/(lh),OUR in g/(lh),kLa in 1/h,Vacid in l,Vbase in l,AAF in l,VL in l,VT1 in l,VT2 in l,FT1 in l/h,FT2 in l/h,pHLm in -,thetaLm in °C,pO2m in %,FR1 in l/h,cS1Lm in g/l,cS2Lm in g/l,cS3Lm in g/l
1.32388888888891,4.64612638783696,7.24308059676231,3.851348100137e-17,0.19589422651979,0.337434107477206,21.0269641574543,779.475860927178,7.5,7.5,0,0,0,6.59893069864209,31.8757598422764,151330,0.2094,0.196763126320977,0.0220312727347264,0.0265548648279152,0.00114802662816127,1.12065920016256,63.041895279334,86.6837872888481,0.81916217398619,-1.5641842026731,1.28263029024239,128.725742674158,0.0399999999999423,0.110833333333173,0,10.1919793570374,0.960000000000058,0.889027777777938,0,0.25,7.49998458512094,31.9999994709501,99.9987820383194,0,9.99999532129245,NaN,NaN
1.32444444444446,4.64693412709595,7.24134584072953,3.85129561714397e-17,0.196003803291539,0.317303084244136,18.6166097716575,946.028608140489,7.5,7.5,0,0,0,6.60024551411741,31.8780335442016,151330,0.2094,0.196098616052709,0.0220019683163069,0.0209650335803245,0.000890530563101619,1.16836868393921,63.0410361901932,86.6826060090842,0.848199584845978,-1.78002970546505,1.21444402345137,205.658392195217,0.0399999999999423,0.110972222222062,0,10.1921182459263,0.960000000000058,0.888888888889049,0,0.25,7.49998457816836,31.9999994699914,99.998781550839,0,9.99999531703795,NaN,NaN
1.32500000000002,4.64769002497072,7.23972440116998,3.85124313556666e-17,0.196134259849232,0.292979471848924,16.2845345406208,1068.08191188315,7.5,7.5,0,0,0,6.60130970545763,31.883859486531,151330,0.2094,0.195502396415504,0.0244626373507675,0.0162632010186783,0.000687050713134857,1.20655605340355,63.0401771244662,86.6814247615157,1.19084885351414,-2.04110499681881,1.1319702819086,274.134048692366,0.0399999999999423,0.111111111110951,0,10.1922571348152,0.960000000000058,0.88875000000016,0,0,7.49998457122593,31.9999994690503,99.99878104848,0,9.99999531278077,NaN,NaN
1.32555555555557,4.64844657558819,7.23832916411614,3.85124313556666e-17,0.196289413121237,0.265614317989468,14.2790481311623,1147.76563634827,7.5,7.5,0,0,0,6.60214414631017,31.8930366320616,151330,0.2094,0.189769221957393,0.0274366005014953,0.0125481829016376,0.000719761030693491,1.23426176655744,63.039318082152,86.680243546141,1.83503495821993,-2.17272948696639,1.03911509331255,328.360472720647,0.0399999999999423,0.11124999999984,0,10.1922571348152,0.960000000000058,0.88875000000016,0,0,7.49998456429171,31.9999994681542,99.9987805317253,0,9.9999953085211,NaN,NaN
1.32611111111113,4.64913256844369,7.23690961752987,3.85124313556666e-17,0.196474359926927,0.270773165291659,13.1090581750909,1162.19810836385,7.5,7.5,0,0,0,6.5997199613508,31.9046237149517,151330,0.2094,0.179069514893249,0.0289284017185809,0.013147260059071,0.00116193873341982,1.27918387569011,63.039318082152,86.679062362959,2.36828915360178,-2.25255223504041,1.05682676128994,365.498365438161,0.0399999999999423,0.11124999999984,0,10.1922571348152,0.960000000000058,0.88875000000016,0,0,7.49998455736393,31.9999994673289,99.9987800025912,0,9.99999530425927,NaN,NaN
1.32666666666669,4.64983198910105,7.2352663019786,3.85124313556666e-17,0.196654420468236,0.318634117922208,13.2111881392321,1055.83273990655,7.5,7.5,0,0,0,6.59742608198658,31.9163497028695,151330,0.2094,0.170048005807558,0.0298181489859271,0.0212275282190347,0.00189052895137084,1.27632903710809,63.039318082152,86.679062362959,2.71746099788059,-2.29718647487879,1.21975661651481,372.36657736116,0.0399999999999423,0.11124999999984,0,10.1922571348152,0.960000000000058,0.88875000000016,0,0.25,7.49998455041744,31.9999994665929,99.9987794662349,0,9.99999529999524,NaN,NaN
1.32722222222224,4.65059179817559,7.23334394537284,3.85119065541967e-17,0.196786608729134,0.357207157173478,14.6645859989244,801.143487067183,7.5,7.5,0,0,0,6.5957628065189,31.9239852217456,151330,0.2094,0.16433507087351,0.0303281899547162,0.0345437606232268,0.0027225553811483,1.16621481158724,63.039318082152,86.679062362959,2.82712891111133,-2.3041465026609,1.35114578873809,322.770935944565,0.0399999999999423,0.11124999999984,0,10.1923960237041,0.960000000000058,0.888611111111272,0,0.25,7.49998454345326,31.9999994659475,99.998778930509,0,9.99999529572869,NaN,NaN
1.3277777777778,4.65145140971838,7.23131832801156,3.85113817670293e-17,0.196875851910393,0.379244708470632,17.2747163522438,450,7.5,7.5,0,0,0,6.59760973328372,31.9250211019237,151330,0.2094,0.163335384389394,0.0304670740150156,0.0497517810587513,0.00354250319162716,1.02083963375908,63.0384590632496,86.679062362959,2.67486069667615,-2.23552019364306,1.42633925495173,214.183663059484,0.0399999999999423,0.111388888888728,0,10.192534912593,0.960000000000058,0.888472222222383,0,0.25,7.49998453647624,31.999999465361,99.9987784037547,0,9.99999529145916,NaN,NaN
1.32833333333335,4.65236814024761,7.22923321130346,3.85108569941638e-17,0.196941376528594,0.391903632426004,20.6841736997075,450,7.5,7.5,0,0,0,6.59971074869526,31.9220546291258,151330,0.2094,0.166820282488922,0.0297750984508576,0.0647363709176255,0.00423607310990127,0.894501593184987,63.0376000677582,86.6778812119682,2.20092870375875,-2.04013204897472,1.46967705316867,91.6123083673927,0.0399999999999423,0.111527777777617,0,10.1926738014819,0.960000000000058,0.888333333333494,0,0.25,7.49998452951347,31.9999994647824,99.9987778931124,0,9.99999528718651,NaN,NaN
1.32888888888891,4.6533177818716,7.22711403354189,3.85103322357462e-17,0.196993083253949,0.399109869678175,24.3627566659414,450,7.5,7.5,0,0,0,6.60193573007612,31.9194030707215,151330,0.2094,0.175130542443796,0.0276135940431817,0.0774076389607263,0.00464226336100872,0.807324375485002,63.0367410956766,86.6767000931675,1.43415053153943,-1.53759033637591,1.49449199215883,91.6117011461893,0.0399999999999423,0.111666666666506,0,10.1928126903707,0.960000000000058,0.888194444444606,0,0.25,7.49998452256691,31.999999464181,99.9987774035161,0,9.99999528291065,NaN,NaN
